[  0.00s] P0 order_service    | starting as order_service
[  0.00s] P0 order_service    | network listening on 0.0.0.0:5000
[ 30.03s] P0 order_service    | INTERNAL ORDER_RECEIVED         vc=(1,0,0,0)
[ 30.03s] P0 order_service    | SEND     PAY_REQUEST -> P1      vc=(2,0,0,0)
[ 30.03s] P0 order_service    | connected to P1 (10.3.17.107:5001)
[ 30.03s] P0 order_service    | RECEIVE  PAY_OK <- P1           vc=(3,3,0,0)
[ 30.03s] P0 order_service    | SEND     ORDER_DISPATCH -> P2   vc=(4,3,0,0)
[ 30.04s] P0 order_service    | connected to P2 (10.3.16.54:5002)
[ 31.54s] P0 order_service    | SNAPSHOT initiating global snapshot
[ 31.54s] P0 order_service    | SNAPSHOT local state recorded (initiator) state={"orders_completed": 0, "orders_placed": 1, "received_ids": ["P1-1"], "sent_ids": ["P0-1", "P0-2"]} vc=(4,3,0,0)
[ 31.54s] P0 order_service    | SNAPSHOT markers sent on all outgoing channels [1, 2, 3]
[ 31.54s] P0 order_service    | connected to P3 (10.3.18.134:5003)
[ 31.54s] P0 order_service    | MARKER   received from P1
[ 31.54s] P0 order_service    | SNAPSHOT channel P1->P0 closed with 0 in-flight message(s)
[ 31.54s] P0 order_service    | MARKER   received from P2
[ 31.54s] P0 order_service    | SNAPSHOT channel P2->P0 closed with 0 in-flight message(s)
[ 31.54s] P0 order_service    | MARKER   received from P3
[ 31.54s] P0 order_service    | SNAPSHOT channel P3->P0 closed with 0 in-flight message(s)
[ 31.54s] P0 order_service    | SNAPSHOT complete, written to ./out/snapshot_P0.json
[ 32.54s] P0 order_service    | RECEIVE  DELIVERED <- P3        vc=(5,3,3,4)
[ 32.54s] P0 order_service    | INTERNAL ORDER_CLOSED           vc=(6,3,3,4)
[300.08s] P0 order_service    | event log written to ./out/events_P0.json (6 events)
