[  0.00s] P3 delivery_partner | starting as delivery_partner
[  0.00s] P3 delivery_partner | network listening on 0.0.0.0:5003
[  0.50s] P3 delivery_partner | INTERNAL GPS_HEARTBEAT          vc=(0,0,0,1)
[ 37.18s] P3 delivery_partner | MARKER   received from P0
[ 37.18s] P3 delivery_partner | SNAPSHOT local state recorded (first marker, from P0) state={"deliveries_done": 0, "received_ids": [], "sent_ids": []} vc=(0,0,0,1)
[ 37.18s] P3 delivery_partner | SNAPSHOT markers sent on all outgoing channels [0, 1, 2]
[ 37.18s] P3 delivery_partner | MARKER   received from P1
[ 37.18s] P3 delivery_partner | SNAPSHOT channel P1->P3 closed with 0 in-flight message(s)
[ 37.18s] P3 delivery_partner | connected to P2 (10.3.16.54:5002)
[ 37.18s] P3 delivery_partner | connected to P1 (10.3.17.107:5001)
[ 37.18s] P3 delivery_partner | connected to P0 (10.3.17.107:5000)
[ 38.18s] P3 delivery_partner | SNAPSHOT recorded in-flight P2-1 on channel P2->P3
[ 38.18s] P3 delivery_partner | RECEIVE  FOOD_READY <- P2       vc=(4,3,3,2)
[ 38.18s] P3 delivery_partner | INTERNAL PICKED_UP              vc=(4,3,3,3)
[ 38.18s] P3 delivery_partner | SEND     DELIVERED -> P0        vc=(4,3,3,4)
[ 40.18s] P3 delivery_partner | MARKER   received from P2
[ 40.18s] P3 delivery_partner | SNAPSHOT channel P2->P3 closed with 1 in-flight message(s)
[ 40.18s] P3 delivery_partner | SNAPSHOT complete, written to ./out/snapshot_P3.json
[300.03s] P3 delivery_partner | event log written to ./out/events_P3.json (4 events)
